,10722424,112866304,115430800,115430810,116926232,117963084,152680449,232584696,239211800,242770597,242770774,242772924,245275952,249373466,255397616,277774885,284443132,284443133,284443134,284443135,284602470,296951895,299617668,299618101,305655273,340702709,340703886,35378405,356319615,356386946,358992704,35923823,35969560,396057347,401547871,401547875,403559120,414049371,424639605,445259803,499506191,499506193,506809097,506809098,530135853,544099484,544282028,544724112,547595905,549965170,569161696,579985470,585783266,585783267,629196683,629196684,629310381,629323566,629380672,629380697,629793547,630097528,630097529,652090480,652090515,652096041,652473885,655475550,655482401,655482424,655488176,655488192,655488218,655488236,655543081,655724805,659781410,659826798,659852283,659852297,659857929,659984693,659984709,659998657,659998664,659999802,660010962,691148839,7858747,804739824,840703309,858358894,858358895,865485285,866522030,866714891,867561355,875864819,895991428,896082911,899650894,900054909,900613120,900888958,901105462,939438945,939438946,939438947,939444154,958547113,969912660,970134648,970187976,970223089,970223090,970223091,970223092,970223093,970223094,970672380,975033907,975103993
G06004101041014,,,,,,,,,,,,,,,,,,,,,,,4.33,,,,,,2.27,2.32,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,2.92,2.58,1.97,1.95,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101041021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,,,,3.2,,,,,,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.19,1.85,1.07,2.67,3.0,,,,,,,,,,,,,,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101041022,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,1.97,,,,,,,,,,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,1.16,0.97,0.72,0.58,1.97,2.31,,,,,,,,,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101042001,,,,,3.49,,,,,,,,,,3.36,,,,,,,,3.8,,,,,,1.99,2.04,,,,3.69,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,2.28,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101042002,,,,,2.78,,,,,,,,,,2.63,,,,,,3.14,,3.06,,,,,,2.49,2.54,3.12,,,2.96,,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101042003,,,,,,,,,,,,,,,,,,,,,,,6.04,7.77,,,,,,,,,5.77,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,4.77,4.28,3.82,2.96,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101043001,,,,,5.45,,,,,,,,,,5.86,,,,,,,,6.3,,,,,,3.94,4.0,,,,6.19,,,,,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24,5.5,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101050001,,,,,1.69,,,,,,,,,,2.3,,,,,,2.81,,2.74,,,,,,1.02,1.07,2.79,,,2.63,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,,,,,,,,,,,,,,,,,
G06004101050002,,,,,2.77,,,,,,,,,,3.38,,,,,,3.89,,3.82,,,,,,0.54,0.6,3.87,,,3.71,,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06004101060011,,,,,4.45,,,,,,,,,,1.88,,,,,,1.87,,,,,,,,,,1.6,,,,3.13,3.01,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,,,,,,,,,,2.09,,,2.17,,,,,,,,,,,,,,,,,
