,12243174,127243699,139962217,184198433,186727461,259158442,269429649,28551317,285842331,301850353,302144588,302144591,460975283,460976026,461041054,474290885,474290894,474290895,474425441,474529272,474576147,475915316,475915317,539691268,544413576,545148263,546499677,577823410,595179956,602152529,602166925,657363284,673806745,744792459,84968563,84969018,85064987,85243499,85308860,85318806,85450504,85465037,85465948,85631934,951425104
G06000700011005,,1.2,,,,,0.85,,1.38,,0.46,0.66,1.22,1.64,,,,,,,,,,1.85,,,0.82,,,,,,,,,,,,,0.31,,,,,
G06000700012001,,,,,,,0.93,,,,1.0,0.94,,0.33,,,,,,,,,,0.6,,,1.38,,,,,,,,,,,,2.58,1.77,,1.9,1.03,,
G06000700012002,,,,,,,0.86,,,,0.61,0.67,1.24,0.68,,,,,,,,,,0.9,,,1.31,,,,,,,,,,,,,1.37,,2.24,1.33,,
G06000700012003,,,,,,,,,,,3.11,3.04,,2.17,,,,,,,,,,2.25,2.56,,,,,,,,,,,,,,3.51,3.87,2.36,2.83,2.51,,
G06000700012004,,,,,,,1.22,,,,0.84,1.04,1.61,0.8,,,,,,,,,,1.02,,,1.33,,,,,,,,,,,,,1.34,,2.36,1.46,,
G06000700013001,,,,,,,1.57,,,1.67,1.71,1.64,1.67,0.71,,,,,,,,,,0.44,,,1.9,,,,,,,,,,,,2.11,,,,0.25,,
G06000700013002,,,,,,,1.19,,,,1.33,1.26,,0.14,,,,,,,,,,0.2,,,1.64,,,,,,,,,,,,2.13,2.09,,1.45,0.63,,
G06000700013003,,,,,,,2.42,,,,2.56,2.49,,1.36,,,,,,,,,,1.21,1.67,,,,,,,,,,,,,,1.73,,1.47,1.05,1.26,,
G06000700013004,,,,,,,0.97,,,,1.11,1.04,1.11,0.25,,,,,,,,,,0.46,,,1.34,,,,,,,,,,,,2.44,1.87,,,0.9,,
G06000700014001,5.71,,,,1.46,,,4.92,,,,,,,5.14,,,,,,,,,,,5.8,,,4.15,,,,,,3.51,5.66,7.02,,,,,,,4.87,
G06000700014002,,4.64,,,,,4.37,4.88,4.63,,3.98,4.18,,4.82,,,,,,,,,,,,4.48,4.47,,,,,,,,,,,,,3.86,,,,,
G06000700014003,9.92,9.27,,,5.56,,,9.02,9.97,,,,,,9.35,,,,,,,,,,,8.95,,,8.36,,,,,,7.72,,,,,,,,,9.09,
G06000700014004,11.46,,,,7.1,,,10.56,,,,,,,10.89,,,,,,,,,,,,,,9.9,,,,,,9.26,11.41,12.77,12.42,,,,,,10.63,
G06000700015001,,,,,,,,,,,5.77,5.71,,4.84,,,,,,,,,,4.91,5.23,,,,,,,,,7.26,,,,,,6.54,5.03,5.5,5.17,,
G06000700015002,,,12.77,,,,,,,,8.32,,,8.66,,,,,,,,,,8.87,9.86,,,,,,,,,3.49,,,,,,8.3,9.66,10.13,9.31,,
G06000700015003,,,8.55,,,,,,,,,,,6.41,,,,,,,,,,6.49,5.63,,,,,,,,,3.53,,,,,6.9,8.11,5.43,6.63,6.74,,
G06000700015004,,,8.86,,,,,,,,,,,,,13.33,13.33,12.94,13.5,13.37,14.06,14.21,14.21,,,,,,,,,,,9.15,,,,,,,,,,,
