,100772151,209941219,226756136,233597102,233599102,288849950,295178666,295324170,353362718,374863837,374864624,374888107,382847457,384258646,384942109,384942362,395484920,395484920,395484921,396084755,407838592,409186948,409186959,44487079,454607098,470792709,540394724,540394725,540394726,540394727,540394728,540394729,540394730,557792226,557792271,557792313,595240534,6321155,672643290,672819688,687695028,7733144,776314785,844938995,845940576,849414603,849416727,854411966,874961578,894490826,899088422,901532567,9098811,920702707,921138593,924590660,925790606
G06002300010003,1.73,0.66,0.0,,,,,,,,,0.33,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,1.08,0.65,,,0.65,1.75,2.06,,,,,,,,,,,,
G06002300010004,2.32,1.03,0.89,,,,,,,,,1.04,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,1.67,1.25,,,1.35,2.35,2.65,,,,,,,,,,,,
G06002300010005,1.95,1.02,1.32,,,,,,,,,0.99,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,1.29,0.89,,,1.01,1.97,2.27,,,,,,,,,,,,
G06002300011011,1.46,,2.89,,,,,,,,,2.56,,0.3,,,,,,,,,,,,2.78,,,,,,,,,,,,,1.92,2.34,,,2.41,2.59,1.47,,,,,,,,,,,,
G06002300011012,0.87,2.3,,,,,,,,,,2.05,,1.59,,,,,,,,,,,,2.18,,,,,,,,,,,,,1.31,1.74,,,1.81,1.99,0.58,,,,,,,,,,,,
G06002300011013,1.32,1.38,,,,,,,,,,1.35,,2.33,,,,,,,,,,,,1.25,,,,,,,,,,,,,0.67,1.03,,,1.15,0.34,1.65,,,,,,,,,,,,
G06002300011014,0.0,,1.73,,,,,,,,,1.4,,1.21,,,,,,,,,,,,1.52,,,,,,,,,,,,,0.66,1.08,,,1.15,1.33,0.53,,,,,,,,,,,,
G06002300012001,2.26,2.57,2.42,,,,,,,,,2.08,,2.43,,,,,,,,,,,,2.62,,,,,,,,,,,,,2.41,2.29,,,2.17,,2.26,,,,,,,,,,,,
G06002300012002,36.11,34.82,34.67,,35.74,,,,,,,34.83,,,,,,,,,,,,35.44,,34.93,,,,,,,,,,,,,35.45,35.04,,,35.15,,,,,,,,,,,,,,
G06002300012003,2.57,,3.44,,,3.53,,,,,,3.11,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,3.03,3.12,,,3.0,3.7,2.58,,,,,,,,,,,,
G06002300013001,,,,5.42,,,,,,,,,5.2,,,,,,,,0.65,,,,,,,,,,,,,,,,4.99,,,,4.48,,,4.54,,4.76,5.1,,5.98,,,,5.48,,,,
G06002300101021,32.33,33.33,33.2,,,32.92,,33.44,,,,32.86,,31.68,34.0,,,,,33.21,,,,,,,,,,,,,,,,,,,,,,,32.75,,,,,,,,,,,,,,
G06002300101022,68.42,,,,,69.01,,69.54,48.19,,,,,67.77,70.09,,,,,69.31,,68.46,68.46,,68.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002300101023,65.08,,,,,65.67,,66.19,52.0,,,,,64.43,66.75,,,,,65.96,,72.27,72.27,,72.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06002300101024,60.85,61.85,61.71,,,,,61.96,,,,61.38,,60.2,,,,,,,,,,,,61.72,,,,,,,,,,,,,,61.38,,,61.27,,60.85,,,,,,,,,,,,
G06002300102001,,,,,,22.98,,22.45,6.62,,,,,26.37,22.02,,,,,22.94,,14.24,14.24,,14.24,,,,,,,,,,,,,,,,,,,,27.49,,,,,,,,,,,,
