G06001900013015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,2.53,,1.6,1.6,,,2.38,2.79,2.06,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,
G06001900013031,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,1.43,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,,,1.23,1.51,,,2.42,2.85,2.1,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,
G06001900013032,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,,,1.12,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,1.33,1.33,,,2.11,2.53,1.79,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,
G06001900013041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,1.8,,,1.4,1.4,,,1.8,2.21,1.48,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,
G06001900013042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,1.47,,,1.74,1.74,,,1.3,1.49,1.17,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,
G06001900013043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,3.05,,1.09,1.08,,,1.86,2.29,1.55,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,
G06001900014071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,0.99,1.0,,3.21,3.21,,,2.25,2.3,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001900014072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,0.76,1.74,,2.46,2.46,,,1.51,1.69,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001900014073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.25,1.25,,2.96,2.96,,,2.0,2.05,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001900014081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.45,,,2.17,2.17,,,1.21,1.39,1.08,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,
G06001900014082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,1.73,2.15,,2.92,2.92,,,1.96,1.53,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06001900014091,,,,,,,,,,,,,3.16,,,,,,,,2.32,,,,,,,,,,,,,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,2.49,2.23,,,,,3.17,2.94,2.51,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
