G06008701104002,,,,,,,,,,,,,,,,,1.7,,1.12,1.14,1.06,,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,2.24,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,0.84,,,,,,,,,,,,,,,,,,,1.15,,
G06008701104003,,,,,,,,,,,,,,,,,,1.82,,,1.92,,,,,,,,,,,,,,,,,,,,,1.2,1.59,,,,,,,1.91,,,,,,,,,1.26,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,1.82,,,,,,,,,,,,,,,,,,,1.77,,
G06008701104004,,,,,,,,,,,,,,,,,,,,1.72,1.5,,,,,,,,,,,,,,,,,,,,,1.49,1.18,,,,,,,,,,,,,,,,0.84,1.95,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.41,,,,,,,,,,,,,,,,,,,1.36,,
G06008701105011,,,,,,,,,,,,,,,,,1.43,,1.36,1.26,1.35,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,0.79,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.64,,,,,,,,,,,,,,,,,,,1.24,,
G06008701105012,,,,,,,,,,,,,,,,,,1.57,,,1.67,,,,,,,,,,,,,,,,,,,,,1.83,1.29,,,,,,,1.65,,,,,,,,,0.55,1.67,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,,,,,1.49,,
G06008701105013,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,0.58,1.9,,,,,,,0.96,,,,,,,,,0.98,2.5,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,2.31,,,,,,,,,,,,,,,,,,,2.11,,
G06008701105014,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,0.9,2.13,,,,,,,1.22,,,,,,,,,1.01,2.71,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,2.63,,,,,,,,,,,,,,,,,,,2.33,,
G06008701105021,,,,,,,,,,,,,,,,,2.58,0.96,,,,,,,,,,,,,1.97,,,,,,,,,,,1.54,2.14,,,,,,,0.67,,,,,,,,,1.37,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,
G06008701105022,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,1.32,1.88,,,,,,,0.44,,,,,,,,,1.14,1.9,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,2.14,,
G06008701105023,,,,,,,,,,,,,,,,,1.86,1.32,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.42,,,,,,,1.03,,,,,,,,,0.58,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,1.63,,
G06008701106001,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,0.37,2.53,,,,,,,1.31,,,,,,,,,1.72,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,2.93,2.93,,,,,,,,,,,,,,,,,,,2.73,,
G06008701106002,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,0.1,2.06,,,,,,,1.3,,,,,,,,,1.35,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,2.47,2.47,,,,,,,,,,,,,,,,,,,2.27,,
G06008701106003,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,2.45,,,,,,,,,,,0.83,2.18,,,,,,,0.52,,,,,,,,,1.06,2.38,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,
G06008701106004,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,2.35,,,,,,,,,,,1.34,2.35,,,,,,,0.67,,,,,,,,,1.57,2.38,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,
G06008701106005,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,0.51,2.2,,,,,,,1.0,,,,,,,,,1.09,2.66,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,,,,,,,,,2.41,,
