,GISJOIN,BLOCKGROUPPOP19,BLOCKGROUPHH19,PCT_LESSHS,PCT_UNEMP,PCT_RENT,PCT_LINGISO,PCT_POV,RATE_ASTH,RATE_LBW,RATE_CVD,SCORE_CI_TRACT,SCORE_PCTL_CI_TRACT,SCORE_POLLUT,SCORE_PCTL_POLLUT
16626,G06007300089013,2208,1091,0.009318579,0.07237892496008515,0.4408799,0.01558203,0.1970109,28.98,7.26,5.28,25.46018777,49.7730711,5.166301398,49.45861854
16627,G06007300089014,1454,820,0.0,0.0837404047452896,0.7439024,0.03780488,0.1444292,28.98,7.26,5.28,25.46018777,49.7730711,5.166301398,49.45861854
16628,G06007300089021,1166,607,0.0,0.09683604985618409,0.8039539,0.08566722,0.1758148,18.57,4.71,3.95,20.18769042,37.96016137,5.907593942,66.19788426
16629,G06007300089022,1065,643,0.0375391,0.054835493519441676,0.3670295,0.06687403,0.1868545,18.57,4.71,3.95,20.18769042,37.96016137,5.907593942,66.19788426
16630,G06007300090001,3420,980,0.2019853,0.030908405578590276,0.6255102,0.1091837,0.4757709,38.35,5.17,6.96,21.794601,41.76752395,4.615613398,36.70192906
16631,G06007300090002,1559,370,0.2047377,0.008152173913043478,0.6324324,0.02702703,0.2733424,38.35,5.17,6.96,21.794601,41.76752395,4.615613398,36.70192906
16632,G06007300091011,899,365,0.001322751,0.06514285714285714,0.03287671,0.0,0.04226919,31.13,4.48,7.7,15.8160232,27.3827534,6.313439594,74.78531425
16633,G06007300091012,2510,933,0.07508702,0.01570915619389587,0.4115756,0.03858521,0.159761,31.13,4.48,7.7,15.8160232,27.3827534,6.313439594,74.78531425
16634,G06007300091013,1319,512,0.0,0.008748906386701663,0.1757812,0.06054688,0.2009098,31.13,4.48,7.7,15.8160232,27.3827534,6.313439594,74.78531425
16635,G06007300091014,1425,554,0.05616943,0.03636363636363636,0.1137184,0.03249097,0.09084457,31.13,4.48,7.7,15.8160232,27.3827534,6.313439594,74.78531425
16636,G06007300091021,1493,886,0.05042017,0.014350453172205438,0.7776524,0.04853273,0.3603483,23.2,4.56,5.49,18.22137062,33.30811901,5.191201309,50.05600498
16637,G06007300091022,2167,957,0.04600639,0.021169354838709676,0.8108673,0.08986416,0.4291647,23.2,4.56,5.49,18.22137062,33.30811901,5.191201309,50.05600498
16638,G06007300091031,869,286,0.1122302,0.04177897574123989,0.1503497,0.03146853,0.1749137,35.65,4.49,7.79,12.33919241,18.86031266,4.122133276,26.1107654
16639,G06007300091032,1024,418,0.02392947,0.0,0.5526316,0.04545455,0.1308594,35.65,4.49,7.79,12.33919241,18.86031266,4.122133276,26.1107654
16640,G06007300091033,1214,479,0.01572327,0.01895306859205776,0.2087683,0.02087683,0.08443709,35.65,4.49,7.79,12.33919241,18.86031266,4.122133276,26.1107654
16641,G06007300091034,1050,501,0.04107831,0.07029478458049887,0.5788423,0.0259481,0.1447619,35.65,4.49,7.79,12.33919241,18.86031266,4.122133276,26.1107654
16642,G06007300091041,1020,445,0.06504065,0.040268456375838924,0.3011236,0.0,0.1431373,35.5,3.87,7.47,10.39399257,13.80484115,4.981443784,45.11512134
16643,G06007300091042,2174,720,0.01233806,0.02326869806094183,0.1611111,0.0,0.1214351,35.5,3.87,7.47,10.39399257,13.80484115,4.981443784,45.11512134
16644,G06007300091061,1080,467,0.03712575,0.07019562715765247,0.3875803,0.0,0.2898148,33.78,3.64,7.06,20.23967774,38.07362582,6.301819497,74.54884878999998
16645,G06007300091062,3288,121,0.0620155,0.01648854961832061,0.214876,0.0,0.3012552,33.78,3.64,7.06,20.23967774,38.07362582,6.301819497,74.54884878999998
16646,G06007300091063,744,296,0.04965753,0.046474358974358976,0.2466216,0.0,0.09139785,33.78,3.64,7.06,20.23967774,38.07362582,6.301819497,74.54884878999998
16647,G06007300091071,2619,1274,0.04248047,0.021729490022172948,0.8084772,0.02825746,0.2638412,33.94,3.01,7.03,14.86277203,25.17650025,5.397118451,54.61107654
16648,G06007300091072,2476,907,0.04247788,0.010482180293501049,0.4961411,0.05953693,0.3988006,33.94,3.01,7.03,14.86277203,25.17650025,5.397118451,54.61107654
16649,G06007300092011,1648,723,0.07041139,0.06336633663366337,0.8506224,0.1134163,0.2026699,52.32,5.43,10.28,34.77958407,67.20877458,6.047620035,69.20970753
16650,G06007300092012,1374,409,0.01474926,0.0,0.9682152,0.0,0.5633188,52.32,5.43,10.28,34.77958407,67.20877458,6.047620035,69.20970753
16651,G06007300092013,1345,544,0.09255725,0.0316622691292876,0.2849265,0.05698529,0.3140496,52.32,5.43,10.28,34.77958407,67.20877458,6.047620035,69.20970753
16652,G06007300092014,1378,429,0.0,0.10451306413301663,0.965035,0.0,0.3047896,52.32,5.43,10.28,34.77958407,67.20877458,6.047620035,69.20970753
