trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
183-1limq8v46,4444,183-3,Northbound,"",1,293543,16606,
183-1mm45vbiu,4444,183-1,Northbound,"",1,293481,16606,
183-1n17ng9u5,4445,183-1,Southbound,"",0,293468,13220,
183-1o88zcg4x,4444,183-1,Southbound,"",0,293482,16607,
183-1okn4nap5,4444,183-1,Northbound,"",1,293483,16606,
183-1omi2rmll,4444,183-1,Northbound,"",1,293484,16606,
183-1q5fxemcq,4445,183-2,Southbound,"",0,293507,13220,
183-1q9qrh4l9,4446,183-2,Union Station/South Park,"",1,293513,18480,
183-1qzsdvivc,4443,183-2,Southbound,"",0,293502,12224,
183-1t3blzgsv,4444,183-1,Northbound,"",1,293485,16606,
183-1tecymypv,4444,183-1,Northbound,"",1,293486,16606,
183-1u5zqi1ja,4444,183-1,Northbound,"",1,293486,16606,
183-1wlyt8b59,4443,183-1,Southbound,"",0,293454,12224,
183-1xkdrtjob,4446,183-1,Union Station/South Park,"",0,293473,17538,
183-1yh655i5p,4446,183-2,Union Station/South Park,"",1,293514,18480,
183-1z489c4q0,4444,183-1,Northbound,"",1,293481,16606,
183-21tlvq7x7,4444,183-2,Northbound,"",1,293520,16606,
183-2387ro8mk,4444,183-3,Southbound,"",0,293538,16607,
183-23gz1axan,4444,183-1,Southbound,"",0,293483,16607,
183-23s8ieedo,4443,183-2,Southbound,"",0,293504,12224,
183-241gb3uzb,4447,183-1,Little Tokyo/City West,"",0,293444,18751,
183-24afjh3ho,4447,183-1,Little Tokyo/City West,"",0,293442,18751,
183-24hnk6xli,4447,183-3,Little Tokyo/City West,"",0,293523,18751,
183-25c6m2x8r,4447,183-2,Little Tokyo/City West,"",0,293494,18751,
183-26d2noan2,4447,183-1,Little Tokyo/City West,"",0,293446,18751,
183-271wz3w14,4444,183-2,Northbound,"",1,293521,16606,
183-282yro6wk,4446,183-2,Union Station/South Park,"",1,293516,18480,
183-283utvaph,4444,183-1,Southbound,"",0,293486,16607,
183-28iutzxoo,4444,183-1,Southbound,"",0,293469,16607,
