route_id,direction_id,direction
SM:82,0,East
SM:82,1,West
SM:83,1,West
SM:83,0,East
SM:85,1,West
SM:86,0,East
SM:86,1,West
SM:87,1,West
SM:88,0,East
SM:121,0,North
SM:121,1,South
SM:117,0,North
SM:117,1,South
SM:110,0,North
SM:110,1,South
SM:112,0,North
SM:112,1,South
SM:120,1,South
SM:120,0,North
SM:122,1,South
SM:122,0,North
SM:138,0,Inbound
SM:138,1,Outbound
SM:142,1,West
SM:142,0,East
SM:296O,0,North
SM:296O,1,South
SM:ECRO,1,South
SM:ECRO,0,North
SM:FCX,1,South
SM:FCX,0,North
SM:251,1,Counterclockwise
SM:713,1,South
SM:713,0,North
SM:280,0,East
SM:280,1,West
SM:281,0,East
SM:281,1,West
SM:292,1,South
SM:292,0,North
SM:296,1,South
SM:296,0,North
SM:ECR,1,South
SM:ECR,0,North
SM:295,1,South
SM:295,0,North
SM:397,0,North
SM:397,1,South
SM:398,1,South
SM:398,0,North
SM:278,0,East
SM:278,1,West
SM:294,0,East
SM:294,1,West
WC:11,0,East
WC:11,1,West
WC:30Z,0,East
WC:30Z,1,West
WC:C3,0,East
WC:C3,1,West
WC:15,0,East
WC:15,1,West
WC:16,0,East
WC:16,1,West
WC:Lynx,1,South
WC:Lynx,0,Loop
WC:10,0,Loop
WC:JPX,1,South
WC:JPX,0,Loop
WC:J,0,Loop
WC:J,1,South
WC:12,1,West
WC:12,0,East
WC:19,1,South
WC:19,0,North
SF:KT,1,Inbound
SF:KT,0,Outbound
SF:N,1,Inbound
SF:N,0,Outbound
SF:15,0,Outbound
SF:15,1,Inbound
SF:2,1,Inbound
SF:2,0,Outbound
SF:27,0,Outbound
SF:27,1,Inbound
SF:6,1,Inbound
SF:6,0,Outbound
SF:7,1,Inbound
SF:7,0,Outbound
SF:37,0,Outbound
SF:37,1,Inbound
SF:9R,0,Outbound
SF:9R,1,Inbound
SF:48,1,Inbound
SF:48,0,Outbound
SF:67,1,Inbound
SF:67,0,Outbound
SF:F,0,Outbound
SF:F,1,Inbound
SF:J,0,Outbound
SF:J,1,Inbound
SF:TBUS,0,Outbound
SF:TBUS,1,Inbound
SF:21,0,Outbound
SF:21,1,Inbound
SF:30,1,Inbound
SF:30,0,Outbound
SF:54,0,Outbound
SF:54,1,Inbound
SF:KBUS,0,Outbound
SF:KBUS,1,Inbound
SF:38R,0,Outbound
SF:38R,1,Inbound
SF:43,0,Outbound
SF:43,1,Inbound
SF:45,0,Outbound
SF:45,1,Inbound
SF:8BX,0,Outbound
SF:8BX,1,Inbound
SF:39,0,Outbound
SF:39,1,Inbound
SF:LBUS,1,Inbound
SF:LBUS,0,Outbound
SF:NBUS,0,Outbound
SF:NBUS,1,Inbound
SF:5,1,Inbound
SF:5,0,Outbound
SF:8AX,1,Inbound
SF:8AX,0,Outbound
SF:12,1,Inbound
SF:12,0,Outbound
SF:28,0,Outbound
SF:28,1,Inbound
SF:33,0,Outbound
SF:33,1,Inbound
SF:52,0,Outbound
SF:52,1,Inbound
SF:55,0,Outbound
SF:55,1,Inbound
SF:714,0,Outbound
SF:714,1,Inbound
SF:66,0,Outbound
SF:66,1,Inbound
SF:58,0,Outbound
SF:58,1,Inbound
SF:M,0,Outbound
SF:M,1,Inbound
SF:56,0,Outbound
SF:56,1,Inbound
SF:PH,1,Inbound
SF:PH,0,Outbound
SF:C,0,Outbound
SF:C,1,Inbound
SF:PM,0,Outbound
SF:PM,1,Inbound
SF:57,0,Outbound
SF:57,1,Inbound
SF:14R,0,Outbound
SF:14R,1,Inbound
SF:14,1,Inbound
SF:14,0,Outbound
SF:8,0,Outbound
SF:8,1,Inbound
SF:9,0,Outbound
SF:9,1,Inbound
SF:19,1,Inbound
SF:19,0,Outbound
SF:22,0,Outbound
SF:22,1,Inbound
SF:25,1,Inbound
SF:25,0,Outbound
SF:29,1,Inbound
SF:29,0,Outbound
SF:44,1,Inbound
SF:44,0,Outbound
SF:24,1,Inbound
SF:24,0,Outbound
SF:38,0,Outbound
SF:38,1,Inbound
SF:49,1,Inbound
SF:49,0,Outbound
SF:90,1,Inbound
SF:90,0,Outbound
SF:L-OWL,0,Outbound
SF:L-OWL,1,Inbound
SF:N-OWL,0,Outbound
SF:N-OWL,1,Inbound
SF:5R,1,Inbound
SF:5R,0,Outbound
SF:91,0,Outbound
SF:91,1,Inbound
SF:18,1,Inbound
SF:18,0,Outbound
SF:1,1,Inbound
SF:1,0,Outbound
SF:23,0,Outbound
SF:23,1,Inbound
SF:31,1,Inbound
SF:31,0,Outbound
SF:35,0,Outbound
SF:35,1,Inbound
SF:36,1,Inbound
SF:36,0,Outbound
WH:20X,0,East
WH:20X,1,West
WH:70X,0,Inbound
WH:70X,1,Outbound
WH:1,0,Loop
WH:52,0,Inbound
WH:52,1,Outbound
WH:502,0,Inbound
WH:502,1,Outbound
WH:503,0,Inbound
WH:503,1,Outbound
WH:54,0,Inbound
WH:54,1,Outbound
WH:8,0,Loop
WH:504,0,Inbound
WH:504,1,Outbound
WH:14,1,West
WH:14,0,East
WH:2,0,Loop
WH:604,0,Inbound
WH:604,1,Outbound
WH:53,0,Inbound
WH:53,0,Outbound
WH:53,1,Outbound
WH:501,0,Inbound
WH:501,1,Outbound
WH:601,0,Inbound
WH:601,1,Outbound
WH:602,0,Inbound
WH:602,1,Outbound
WH:603,0,Inbound
WH:603,1,Outbound
WH:605,0,Inbound
WH:605,1,Outbound
WH:606,0,Inbound
WH:606,1,Outbound
WH:607,0,Inbound
WH:607,1,Outbound
WH:608,0,Inbound
WH:608,1,Outbound
WH:609,0,Inbound
WH:609,1,Outbound
WH:610,0,Inbound
WH:610,1,Outbound
WH:611,0,Inbound
WH:611,1,Outbound
WH:15,0,Loop
WH:3,0,West
WH:30R,1,West
WH:30R,0,East
WH:10R,0,East
WH:10R,1,West
SB:OA,0,East
SB:OA,1,West
SB:HB,1,West
SB:HB,0,East
SB:SSF,1,South
SB:SSF,0,North
SB:VJO,1,South
SB:VJO,0,North
SB:RCH,0,North
SB:RCH,1,South
SB:P41,1,West
SB:P41,0,East
SB:SEA,1,West
SB:SEA,0,East
3D:379,1,West
3D:379,0,East
3D:390,0,East
3D:390,1,West
3D:385,1,West
3D:385,0,East
3D:392,0,East
3D:392,1,West
3D:394,1,West
3D:394,0,East
3D:393,0,East
3D:393,1,West
3D:395,0,Loop
3D:383,0,East
3D:383,1,West
3D:389,0,Loop
3D:381,0,East
3D:381,1,West
3D:200,0,East
3D:200,1,West
3D:300,1,West
3D:300,0,East
3D:202,0,Loop
3D:388,1,West
3D:388,0,East
3D:380,0,East
3D:380,1,West
3D:391,1,West
3D:391,0,East
3D:201,1,West
3D:201,0,East
3D:387,1,West
3D:387,0,East
3D:396,0,East
3D:396,1,West
3D:202X,1,West
3D:202X,0,East
3D:300X,1,West
3D:300X,0,East
3D:384,1,West
3D:384,0,East
3D:200X,0,East
3D:200X,1,West
3D:201X,1,West
3D:201X,0,East
3D:709,1,West
AF:Tib-AIF,1,Outbound
AF:Tib-AIF,0,Inbound
AM:Shuttle,0,Outbound
AM:Shuttle,0,Inbound
AM:Shuttle,1,Outbound
AM:SF,1,Outbound
AM:SF,0,Inbound
AM:CC,1,Outbound
AM:CC,0,Inbound
SR:2,1,Loop
SR:15,1,Loop
SR:8,1,Loop
SR:9,1,Loop
SR:4,1,Loop
SR:5,1,Loop
SR:6,0,Outbound
SR:6,1,Inbound
SR:18,1,Loop
