from_leg_group_id,to_leg_group_id,is_symmetrical,spanning_limit,transfer_id,transfer_sequence,duration_limit,duration_limit_type,fare_transfer_type,amount,min_amount,max_amount,currency,fare_product_id,fare_container_id,rider_category_id,eligible_cap_id,inactive
CT,AC:transbay,0,,,,7200,2,0,3.75,,,USD,CT:multizone:6:day,clipper,adult,,
CT,AC:transbay,0,,,,7200,2,0,3.75,,,USD,CT:multizone:4:monthly,clipper,adult,,
CT,AC:transbay,0,,,,7200,2,0,3.75,,,USD,CT:multizone:4:day,clipper,adult,,
CT,AC:transbay,0,,,,7200,2,0,3.75,,,USD,CT:multizone:6:monthly,clipper,adult,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:multizone:4:monthly,clipper,SC:discount,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:multizone:6:monthly,clipper,SC:discount,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:multizone:2:monthly,clipper,SC:discount,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:multizone:3:monthly,clipper,SC:discount,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:multizone:5:monthly,clipper,SC:discount,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:1zone:monthly,clipper,SC:discount,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:1zone:monthly,clipper,SC:youth,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:multizone:4:monthly,clipper,SC:youth,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:multizone:6:monthly,clipper,SC:youth,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:multizone:2:monthly,clipper,SC:youth,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:multizone:3:monthly,clipper,SC:youth,,
CT,SC:express,0,,,,,,0,0,,,USD,CT:multizone:5:monthly,clipper,SC:youth,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:4:monthly,clipper,SC:discount,,
SM,AC:transbay,0,,,,7200,1,0,3.75,,,USD,SM:express:monthly,clipper,adult,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:2:monthly,clipper,SC:discount,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:3:monthly,clipper,SC:discount,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:5:monthly,clipper,SC:discount,,
CT,SC,0,,,,,,0,0,,,USD,CT:1zone:monthly,clipper,SC:discount,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:6:monthly,clipper,SC:youth,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:2:monthly,clipper,SC:youth,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:3:monthly,clipper,SC:youth,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:5:monthly,clipper,SC:youth,,
CT,SC,0,,,,,,0,0,,,USD,CT:1zone:monthly,clipper,SC:youth,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:4:monthly,clipper,SC:youth,,
CT,SC:express,0,,,,,,0,2.5,,,USD,CT:multizone:6:monthly,clipper,adult,,
CT,SC:express,0,,,,,,0,2.5,,,USD,CT:multizone:2:monthly,clipper,adult,,
CT,SC:express,0,,,,,,0,2.5,,,USD,CT:multizone:3:monthly,clipper,adult,,
CT,SC:express,0,,,,,,0,2.5,,,USD,CT:multizone:5:monthly,clipper,adult,,
CT,SC:express,0,,,,,,0,2.5,,,USD,CT:1zone:monthly,clipper,adult,,
CT,SC:express,0,,,,,,0,2.5,,,USD,CT:multizone:4:monthly,clipper,adult,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:6:monthly,clipper,adult,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:2:monthly,clipper,adult,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:3:monthly,clipper,adult,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:5:monthly,clipper,adult,,
CT,SC,0,,,,,,0,0,,,USD,CT:1zone:monthly,clipper,adult,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:4:monthly,clipper,adult,,
SM,AC,0,,,,7200,1,0,0,,,USD,SM:express:monthly,clipper,adult,,
SM,AC:transbay,0,,,,7200,1,0,1.88,,,USD,SM:express:monthly,clipper,AC:discount,,
CT,SC,0,,,,,,0,0,,,USD,CT:multizone:6:monthly,clipper,SC:discount,,
SC:express,SM,0,,,,7200,1,0,0,,,USD,SC:express,clipper,adult,,
SC:express,SM,0,,,,7200,1,0,0,,,USD,SC:local,clipper,adult,,
SC:express,SM:express,0,,,,7200,1,0,1.95,,,USD,SC:express,clipper,adult,,
SC:express,SM:express,0,,,,7200,1,0,1.95,,,USD,SC:local,clipper,adult,,
