,blockgroup,hub
474,G06000104041022,226852758
475,G06000104041022,286961510
476,G06000104041022,400277094
477,G06000104041022,433769471
478,G06000104041022,45303398
479,G06000104041022,45303399
480,G06000104041022,479030247
481,G06000104042001,226852758
482,G06000104042001,286961510
483,G06000104042001,400277094
484,G06000104042001,433769471
485,G06000104042001,479030247
486,G06000104042002,286961510
487,G06000104042002,400277094
488,G06000104042002,433769471
489,G06000104042003,226852758
490,G06000104042003,286961510
491,G06000104042003,400277094
492,G06000104042003,433769471
493,G06000104042003,45303399
494,G06000104042003,479030247
495,G06000104043001,226852758
496,G06000104043001,286961510
497,G06000104043001,400277094
498,G06000104043001,433769471
499,G06000104043001,45303398
500,G06000104043001,45303399
501,G06000104043001,479030247
502,G06000104043002,226852758
503,G06000104043002,286961510
504,G06000104043002,400277094
505,G06000104043002,433769471
506,G06000104043002,45303398
507,G06000104043002,45303399
508,G06000104043002,479030247
509,G06000104043003,226852758
510,G06000104043003,286961510
511,G06000104043003,400277094
512,G06000104043003,433769471
513,G06000104043003,45303398
514,G06000104043003,45303399
515,G06000104043003,479030247
516,G06000104044001,226852758
517,G06000104044001,286961510
518,G06000104044001,400277094
519,G06000104044001,433769471
520,G06000104044001,479030247
521,G06000104044002,400277094
522,G06000104044002,433769471
523,G06000104051004,400277094
524,G06000104051004,433769471
525,G06000104052004,400277094
526,G06000104052004,433769471
527,G06000104105001,286961510
528,G06000104105001,400277094
529,G06000104105001,433769471
530,G06000104201001,226852758
531,G06000104201001,286961510
532,G06000104201001,400277094
533,G06000104201001,433769471
534,G06000104201001,45303398
535,G06000104201001,45303399
536,G06000104201001,479030247
537,G06000104201002,226852758
538,G06000104201002,286961510
539,G06000104201002,400277094
540,G06000104201002,433769471
541,G06000104201002,45303398
542,G06000104201002,45303399
543,G06000104201002,479030247
544,G06000104201003,226852758
545,G06000104201003,286961510
546,G06000104201003,400277094
547,G06000104201003,433769471
548,G06000104201003,45303398
549,G06000104201003,45303399
550,G06000104201003,479030247
551,G06000104202001,286961510
552,G06000104202002,286961510
553,G06000104202003,286961510
554,G06000104203001,286961510
555,G06000104203002,226852758
556,G06000104203002,286961510
557,G06000104203002,400277094
558,G06000104203002,433769471
559,G06000104203002,45303398
560,G06000104203002,45303399
561,G06000104203002,479030247
562,G06000104203003,226852758
563,G06000104203003,286961510
564,G06000104203003,400277094
565,G06000104203003,433769471
566,G06000104203003,45303398
567,G06000104203003,45303399
568,G06000104203003,479030247
569,G06000104204001,226852758
570,G06000104204001,286961510
571,G06000104204001,400277094
572,G06000104204001,433769471
573,G06000104204001,45303398
574,G06000104204001,45303399
575,G06000104204001,479030247
576,G06000104205001,286961510
577,G06000104205002,226852758
578,G06000104205002,286961510
579,G06000104205002,400277094
580,G06000104205002,433769471
581,G06000104205002,45303398
582,G06000104205002,45303399
583,G06000104205002,479030247
584,G06000104206001,226852758
585,G06000104206001,286961510
586,G06000104206001,400277094
587,G06000104206001,433769471
588,G06000104206001,45303398
589,G06000104206001,45303399
590,G06000104206001,479030247
591,G06000104206002,226852758
592,G06000104206002,286961510
593,G06000104206002,400277094
594,G06000104206002,433769471
595,G06000104206002,45303398
596,G06000104206002,45303399
597,G06000104206002,479030247
598,G06000104206003,226852758
599,G06000104206003,286961510
600,G06000104206003,400277094
601,G06000104206003,433769471
602,G06000104206003,45303398
603,G06000104206003,45303399
604,G06000104206003,479030247
605,G06000104211001,226852758
606,G06000104211001,286961510
607,G06000104211001,400277094
608,G06000104211001,433769471
609,G06000104211001,45303398
610,G06000104211001,45303399
611,G06000104211001,479030247
612,G06000104211002,226852758
613,G06000104211002,286961510
614,G06000104211002,400277094
615,G06000104211002,433769471
616,G06000104211002,45303398
617,G06000104211002,45303399
618,G06000104211002,479030247
619,G06000104212001,226852758
620,G06000104212001,286961510
621,G06000104212001,400277094
622,G06000104212001,433769471
623,G06000104212001,45303398
624,G06000104212001,45303399
625,G06000104212001,479030247
626,G06000104212002,226852758
627,G06000104212002,286961510
628,G06000104212002,400277094
629,G06000104212002,433769471
630,G06000104212002,45303398
631,G06000104212002,45303399
632,G06000104212002,479030247
633,G06000104212003,226852758
634,G06000104212003,286961510
635,G06000104212003,400277094
636,G06000104212003,433769471
637,G06000104212003,45303398
638,G06000104212003,45303399
639,G06000104212003,479030247
640,G06000104212004,226852758
641,G06000104212004,286961510
642,G06000104212004,400277094
643,G06000104212004,433769471
644,G06000104212004,45303398
645,G06000104212004,45303399
646,G06000104212004,479030247
647,G06000104213001,226852758
648,G06000104213001,286961510
649,G06000104213001,400277094
650,G06000104213001,433769471
651,G06000104213001,45303398
652,G06000104213001,45303399
653,G06000104213001,479030247
654,G06000104213002,226852758
655,G06000104213002,286961510
656,G06000104213002,400277094
657,G06000104213002,433769471
658,G06000104213002,45303398
659,G06000104213002,45303399
660,G06000104213002,479030247
661,G06000104213003,226852758
662,G06000104213003,286961510
663,G06000104213003,400277094
664,G06000104213003,433769471
665,G06000104213003,45303398
666,G06000104213003,45303399
667,G06000104213003,479030247
668,G06000104213004,226852758
669,G06000104213004,286961510
670,G06000104213004,400277094
671,G06000104213004,433769471
672,G06000104213004,45303398
673,G06000104213004,45303399
674,G06000104213004,479030247
675,G06000104214001,226852758
676,G06000104214001,286961510
677,G06000104214001,400277094
678,G06000104214001,433769471
679,G06000104214001,45303398
680,G06000104214001,45303399
681,G06000104214001,479030247
682,G06000104214002,226852758
683,G06000104214002,286961510
684,G06000104214002,400277094
685,G06000104214002,433769471
686,G06000104214002,45303398
687,G06000104214002,45303399
688,G06000104214002,479030247
689,G06000104215001,226852758
690,G06000104215001,286961510
691,G06000104215001,400277094
692,G06000104215001,433769471
693,G06000104215001,45303398
694,G06000104215001,45303399
695,G06000104215001,479030247
696,G06000104215002,226852758
697,G06000104215002,286961510
698,G06000104215002,400277094
699,G06000104215002,433769471
700,G06000104215002,45303398
701,G06000104215002,45303399
702,G06000104215002,479030247
703,G06000104215003,226852758
704,G06000104215003,286961510
705,G06000104215003,400277094
706,G06000104215003,433769471
707,G06000104215003,45303398
708,G06000104215003,45303399
709,G06000104215003,479030247
710,G06000104216001,226852758
711,G06000104216001,286961510
712,G06000104216001,400277094
713,G06000104216001,433769471
714,G06000104216001,45303398
715,G06000104216001,45303399
716,G06000104216001,479030247
717,G06000104216002,226852758
718,G06000104216002,286961510
719,G06000104216002,400277094
720,G06000104216002,433769471
721,G06000104216002,45303398
722,G06000104216002,45303399
723,G06000104216002,479030247
724,G06000104216003,226852758
725,G06000104216003,286961510
726,G06000104216003,400277094
727,G06000104216003,433769471
728,G06000104216003,45303398
729,G06000104216003,45303399
730,G06000104216003,479030247
731,G06000104216004,226852758
732,G06000104216004,286961510
733,G06000104216004,400277094
734,G06000104216004,433769471
735,G06000104216004,45303398
736,G06000104216004,45303399
737,G06000104216004,479030247
738,G06000104217001,226852758
739,G06000104217001,286961510
740,G06000104217001,400277094
741,G06000104217001,433769471
742,G06000104217001,45303398
743,G06000104217001,45303399
744,G06000104217001,479030247
745,G06000104217002,226852758
746,G06000104217002,286961510
747,G06000104217002,400277094
748,G06000104217002,433769471
749,G06000104217002,45303398
750,G06000104217002,45303399
751,G06000104217002,479030247
752,G06000104217003,226852758
753,G06000104217003,286961510
754,G06000104217003,400277094
755,G06000104217003,433769471
756,G06000104217003,45303398
757,G06000104217003,45303399
758,G06000104217003,479030247
759,G06000104218001,226852758
760,G06000104218001,286961510
761,G06000104218001,400277094
762,G06000104218001,433769471
763,G06000104218001,45303398
764,G06000104218001,45303399
765,G06000104218001,479030247
766,G06000104218002,226852758
767,G06000104218002,286961510
768,G06000104218002,400277094
769,G06000104218002,433769471
770,G06000104218002,45303398
771,G06000104218002,45303399
772,G06000104218002,479030247
773,G06000104219001,226852758
774,G06000104219001,286961510
775,G06000104219001,400277094
776,G06000104219001,433769471
777,G06000104219001,45303398
778,G06000104219001,45303399
779,G06000104219001,479030247
780,G06000104219002,226852758
781,G06000104219002,286961510
782,G06000104219002,400277094
783,G06000104219002,433769471
784,G06000104219002,45303398
785,G06000104219002,45303399
786,G06000104219002,479030247
787,G06000104219003,226852758
788,G06000104219003,286961510
789,G06000104219003,400277094
790,G06000104219003,433769471
791,G06000104219003,45303398
792,G06000104219003,45303399
793,G06000104219003,479030247
794,G06000104219004,226852758
795,G06000104219004,286961510
796,G06000104219004,400277094
797,G06000104219004,433769471
798,G06000104219004,45303398
799,G06000104219004,45303399
800,G06000104219004,479030247
801,G06000104220001,226852758
802,G06000104220001,400277094
803,G06000104220001,433769471
804,G06000104220001,45303398
805,G06000104220001,45303399
806,G06000104220001,479030247
807,G06000104220002,286961510
808,G06000104221001,286961510
809,G06000104221002,286961510
810,G06000104222001,226852758
811,G06000104222001,286961510
812,G06000104222001,400277094
813,G06000104222001,433769471
814,G06000104222001,45303398
815,G06000104222001,45303399
816,G06000104222001,479030247
817,G06000104222002,226852758
818,G06000104222002,286961510
819,G06000104222002,400277094
820,G06000104222002,433769471
821,G06000104222002,45303398
822,G06000104222002,45303399
823,G06000104222002,479030247
824,G06000104222003,226852758
825,G06000104222003,286961510
826,G06000104222003,400277094
827,G06000104222003,433769471
828,G06000104222003,45303398
829,G06000104222003,45303399
830,G06000104222003,479030247
831,G06000104223001,226852758
832,G06000104223001,286961510
833,G06000104223001,400277094
834,G06000104223001,433769471
835,G06000104223001,45303398
836,G06000104223001,45303399
837,G06000104223001,479030247
838,G06000104223002,226852758
839,G06000104223002,286961510
840,G06000104223002,400277094
841,G06000104223002,433769471
842,G06000104223002,45303398
843,G06000104223002,45303399
844,G06000104223002,479030247
845,G06000104223003,226852758
846,G06000104223003,286961510
847,G06000104223003,400277094
848,G06000104223003,433769471
849,G06000104223003,45303398
850,G06000104223003,45303399
851,G06000104223003,479030247
852,G06000104224001,226852758
853,G06000104224001,286961510
854,G06000104224001,400277094
855,G06000104224001,433769471
856,G06000104224001,45303398
857,G06000104224001,45303399
858,G06000104224001,479030247
859,G06000104224002,226852758
860,G06000104224002,286961510
861,G06000104224002,400277094
862,G06000104224002,433769471
863,G06000104224002,45303398
864,G06000104224002,45303399
865,G06000104224002,479030247
866,G06000104224003,226852758
867,G06000104224003,286961510
868,G06000104224003,400277094
869,G06000104224003,433769471
870,G06000104224003,45303398
871,G06000104224003,45303399
872,G06000104224003,479030247
873,G06000104225001,226852758
874,G06000104225001,286961510
875,G06000104225001,400277094
876,G06000104225001,433769471
877,G06000104225001,45303398
878,G06000104225001,45303399
879,G06000104225001,479030247
880,G06000104225002,226852758
881,G06000104225002,286961510
882,G06000104225002,400277094
883,G06000104225002,433769471
884,G06000104225002,45303398
885,G06000104225002,45303399
886,G06000104225002,479030247
887,G06000104225003,226852758
888,G06000104225003,286961510
889,G06000104225003,400277094
890,G06000104225003,433769471
891,G06000104225003,45303398
892,G06000104225003,45303399
893,G06000104225003,479030247
894,G06000104226001,226852758
895,G06000104226001,286961510
896,G06000104226001,400277094
