,0
273163284,0.0
273202307,0.0
273202567,0.0
273338469,0.0
274266959,0.0
274389975,0.0
274608785,0.0
274668291,0.0
274799462,0.0
275284039,0.0
275953325,0.0
277457140,0.0
277463465,0.0
27762630,0.0
277744246,0.0
27808403,0.0
27828344,0.0
278746051,0.0
279235237,0.0
27946043,0.0
27946100,0.0
27946155,0.0
27946364,0.0
27946379,0.0
27946480,0.0
28004223,0.0
28004379,0.0
28004451,0.0
28004607,0.0
28004644,0.0
28004809,0.0
28004810,0.0
28004871,0.0
28005196,0.0
28006024,0.0
280421421,0.0
280421422,0.0
280421424,0.0
280421425,0.0
280421426,0.0
28113846,0.0
28293990,0.0
28376124,0.0
284646126,0.0
28518724,0.0
285328949,0.0
285594249,0.0
286003491,0.0
286003500,0.0
28670697,0.0
286961510,0.0
287891344,0.0
287932405,0.0
28843523,0.0
288477221,0.0
288499344,0.0
288559675,0.0
28861405,0.0
28861587,0.0
28861634,0.0
288643550,0.0
288657415,0.0
288658389,0.0
288810081,0.0
288825053,0.0
288825061,0.0
288827578,0.0
288827585,0.0
288835529,0.0
288836582,0.0
288845365,0.0
288866388,0.0
288928784,0.0
288935981,0.0
288962773,0.0
288971582,0.0
288996927,0.0
28922004,0.0
289372464,0.0
289374363,0.0
289406907,0.0
289413291,0.0
289466204,0.0
289657204,0.0
289665929,0.0
28968812,0.0
28969541,0.0
289753261,0.0
289922506,0.0
289952579,0.0
290036940,0.0
291410727,0.0
292031477,1.0
293614930,0.0
294779081,0.0
294857289,0.0
297782025,0.0
297782971,0.0
29902626,0.0
30010910,0.0
30105782,0.0
30105811,0.0
301425030,0.0
30358759,0.0
304485786,0.0
304755227,0.0
305323076,0.0
305960940,0.0
305960943,0.0
308163454,0.0
308184300,0.0
308184302,0.0
308194193,0.0
308527502,0.0
308695433,0.0
309031101,0.0
30909403,0.0
30910549,0.0
30910550,0.0
30910551,0.0
30910552,0.0
310190142,0.0
310320436,0.0
310320451,0.0
310343940,0.0
310530911,0.0
310586843,0.0
310901754,0.0
310901759,0.0
311006347,0.0
311699922,0.0
312023664,0.0
31239840,1.0
31257671,0.0
31260723,1.0
31260806,1.0
31261021,0.0
31265835,1.0
31273323,1.0
31273452,1.0
31273566,1.0
31278806,1.0
31278852,1.0
31279168,1.0
31279251,1.0
31282285,1.0
31282351,0.0
31282448,0.0
31284487,0.0
312882020,0.0
312882024,0.0
312889730,0.0
312889732,0.0
31291642,1.0
31292422,1.0
31292554,1.0
31292670,1.0
31293084,-0.0
31293210,1.0
31293553,0.0
31293562,1.0
31293900,1.0
31293907,1.0
31294014,1.0
31298330,1.0
31298928,1.0
31299703,1.0
31299758,1.0
31299805,1.0
31303825,1.0
31312851,1.0
31317628,1.0
31320691,1.0
31327648,0.0
31327976,-0.0
31328396,1.0
31328566,1.0
31328840,1.0
31328970,0.0
313290864,0.0
31329215,1.0
31329351,1.0
31329806,-0.0
31330038,0.0
31330220,1.0
31330425,0.0
31330524,0.0
313502696,0.0
31357750,0.0
313593336,0.0
31363855,1.0
31364163,1.0
31364237,1.0
31364282,1.0
31368512,1.0
313739302,1.0
313765399,0.0
313774495,0.0
314026642,0.0
31423836,0.0
31425944,1.0
31426940,1.0
31426961,0.0
31428762,0.0
31455206,0.0
31460019,0.0
31460541,1.0
314683371,0.0
31476725,-0.0
31477308,1.0
31478027,0.0
31484942,1.0
31486920,0.0
31516213,1.0
31516227,1.0
31528158,1.0
31530054,1.0
31530517,1.0
31532228,1.0
31532270,1.0
315372386,0.0
31540470,1.0
315405573,0.0
31540640,1.0
31544130,0.0
31544273,1.0
31544365,0.0
31544401,1.0
31544604,0.0
31544927,-0.0
31551423,1.0
315532967,0.0
31553746,0.0
315551698,0.0
31555561,1.0
315559541,0.0
31556371,1.0
31556463,1.0
31556529,1.0
31556616,1.0
31556696,-0.0
315574337,0.0
31557528,0.0
31564919,0.0
315706729,0.0
315706875,0.0
31577889,1.0
31579349,-0.0
31583869,0.0
31583931,0.0
31583964,1.0
31645777,0.0
31722830,0.0
31769460,1.0
